Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,48,6,54
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,46.8,7,53.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,50.4,3.3,53.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,48,5.3,53.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,48,3.75,51.75
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,48,3.05,51.05
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,46.8,3.8,50.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,45.6,2.4,48
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurocirurgia,45.6,2.2,47.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,69.6,10,79.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,68.4,10,78.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,66,8.9,74.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,63.6,9.4,73
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,63.6,9.1,72.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,67.2,5.3,72.5
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,62.4,10,72.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,63.6,8,71.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,61.2,10,71.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,10,70
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,10,70
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,10,70
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,10,70
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,61.2,8.5,69.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,61.2,8.2,69.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,61.2,7.6,68.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,8.5,68.5
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,8.4,68.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,8.2,68.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,58.8,9.2,68
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,63.6,4,67.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,57.6,10,67.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,7.5,67.5
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,58.8,8.3,67.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,58.8,8.1,66.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,62.4,3.8,66.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,63.6,2.2,65.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,5.75,65.75
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,56.4,9,65.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,5.4,65.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,57.6,7.8,65.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,5.3,65.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,57.6,7.55,65.15
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,58.8,5.95,64.75
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,57.6,6.95,64.55
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,57.6,6.45,64.05
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,56.4,7.35,63.75
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,54,9.6,63.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,7.3,63.47
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,55.2,7.7,62.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,52.8,10,62.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,54,7.7,61.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,55.2,6.5,61.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,52.8,8.05,60.85
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,54,6.3,60.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,60,0.1,60.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,56.4,3.55,59.95
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,9,59.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,54,4.9,58.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,52.8,5.95,58.75
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,55.2,3.1,58.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,7.5,57.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,54,3.8,57.8
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,51.6,5.5,57.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,52.8,3.55,56.35
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,10,55.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,52.8,2.35,55.15
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,4.6,55
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,48,6.7,54.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,4.2,54.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,8.8,54.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,8.5,54.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,49.2,4.2,53.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,50.4,2.8,53.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,6.8,52.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,46.8,4.85,51.65
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,6,51.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,46.8,4.5,51.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,48,3.3,51.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,46.8,4.4,51.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,4.1,49.7
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,3.95,49.55
HOSPITAL UNIMED BH– UNIDADE CONTORNO,neurologia,45.6,3.85,49.45
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,73.2,10,83.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,72,10,82
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,66,10,76
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,70.8,4.8,75.6
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,64.8,8.3,73.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,63.6,8.3,71.9
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,61.2,10,71.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,61.2,10,71.2
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,60,8.3,68.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,61.2,7.1,68.3
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,56.4,10,66.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,56.4,10,66.4
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,56.4,8.7,65.1
HOSPITAL UNIMED BH– UNIDADE CONTORNO,ortopedia e traumatologia,57.6,7.3,64.9
Hospital Universitário Alzira Velano,anestesiologia,62.4,9.5,71.9
Hospital Universitário Alzira Velano,anestesiologia,58.8,5.95,71.23
Hospital Universitário Alzira Velano,anestesiologia,61.2,10,71.2
Hospital Universitário Alzira Velano,anestesiologia,58.8,10,68.8
Hospital Universitário Alzira Velano,anestesiologia,60,8.5,68.5
Hospital Universitário Alzira Velano,anestesiologia,60,7.6,67.6
Hospital Universitário Alzira Velano,anestesiologia,57.6,9.1,66.7
Hospital Universitário Alzira Velano,anestesiologia,62.4,4.3,66.7
Hospital Universitário Alzira Velano,anestesiologia,62.4,3.95,66.35
Hospital Universitário Alzira Velano,anestesiologia,58.8,6.5,65.3
Hospital Universitário Alzira Velano,anestesiologia,60,4.8,64.8
Hospital Universitário Alzira Velano,anestesiologia,56.4,8.4,64.8
Hospital Universitário Alzira Velano,anestesiologia,56.4,7.5,63.9
Hospital Universitário Alzira Velano,anestesiologia,57.6,5.1,62.7
Hospital Universitário Alzira Velano,anestesiologia,56.4,5.7,62.1
Hospital Universitário Alzira Velano,anestesiologia,54,6.7,60.7
Hospital Universitário Alzira Velano,anestesiologia,51.6,8.6,60.2
Hospital Universitário Alzira Velano,anestesiologia,56.4,3.8,60.2
Hospital Universitário Alzira Velano,anestesiologia,58.8,1.25,60.05
Hospital Universitário Alzira Velano,anestesiologia,51.6,7.1,58.7
Hospital Universitário Alzira Velano,anestesiologia,50.4,7.5,57.9
Hospital Universitário Alzira Velano,anestesiologia,51.6,5.95,57.55
Hospital Universitário Alzira Velano,anestesiologia,51.6,5.8,57.4
Hospital Universitário Alzira Velano,anestesiologia,51.6,4.15,55.75
Hospital Universitário Alzira Velano,anestesiologia,49.2,6.1,55.3
Hospital Universitário Alzira Velano,anestesiologia,50.4,4.9,55.3
Hospital Universitário Alzira Velano,anestesiologia,54,0.5,54.5
Hospital Universitário Alzira Velano,anestesiologia,51.6,2.85,54.45
Hospital Universitário Alzira Velano,anestesiologia,45.6,8.6,54.2
Hospital Universitário Alzira Velano,anestesiologia,46.8,7.3,54.1
Hospital Universitário Alzira Velano,anestesiologia,49.2,4.6,53.8
Hospital Universitário Alzira Velano,anestesiologia,51.6,1.5,53.1
Hospital Universitário Alzira Velano,anestesiologia,45.6,6,51.6
Hospital Universitário Alzira Velano,anestesiologia,46.8,4.3,51.1
Hospital Universitário Alzira Velano,anestesiologia,46.8,4.2,51
Hospital Universitário Alzira Velano,anestesiologia,45.6,5,50.6
Hospital Universitário Alzira Velano,anestesiologia,48,2.3,50.3
Hospital Universitário Alzira Velano,anestesiologia,46.8,2.75,49.55
Hospital Universitário Alzira Velano,anestesiologia,49.2,0.1,49.3
Hospital Universitário Alzira Velano,anestesiologia,45.6,2.8,48.4
Hospital Universitário Alzira Velano,cirurgia geral,64.8,7.1,71.9
Hospital Universitário Alzira Velano,cirurgia geral,61.2,9.9,71.1
Hospital Universitário Alzira Velano,cirurgia geral,62.4,7.8,70.2
Hospital Universitário Alzira Velano,cirurgia geral,60,8.2,68.2
Hospital Universitário Alzira Velano,cirurgia geral,62.4,5.75,68.15
Hospital Universitário Alzira Velano,cirurgia geral,52.8,10,62.8
Hospital Universitário Alzira Velano,cirurgia geral,56.4,6,62.4
Hospital Universitário Alzira Velano,cirurgia geral,55.2,7,62.2
Hospital Universitário Alzira Velano,cirurgia geral,57.6,3.9,61.5
Hospital Universitário Alzira Velano,cirurgia geral,52.8,8.6,61.4
Hospital Universitário Alzira Velano,cirurgia geral,55.2,5.5,60.7
Hospital Universitário Alzira Velano,cirurgia geral,51.6,8,59.6
Hospital Universitário Alzira Velano,cirurgia geral,55.2,4,59.2
Hospital Universitário Alzira Velano,cirurgia geral,52.8,6.4,59.2
Hospital Universitário Alzira Velano,cirurgia geral,50.4,8,58.4
Hospital Universitário Alzira Velano,cirurgia geral,54,3.35,57.35
Hospital Universitário Alzira Velano,cirurgia geral,50.4,5.9,56.3
Hospital Universitário Alzira Velano,cirurgia geral,51.6,4.3,55.9
Hospital Universitário Alzira Velano,cirurgia geral,49.2,6.6,55.8
Hospital Universitário Alzira Velano,cirurgia geral,50.4,5.4,55.8
Hospital Universitário Alzira Velano,cirurgia geral,48,6.55,54.55
Hospital Universitário Alzira Velano,cirurgia geral,52.8,1.75,54.55
Hospital Universitário Alzira Velano,cirurgia geral,46.8,6.5,53.3
Hospital Universitário Alzira Velano,cirurgia geral,49.2,2.8,52
Hospital Universitário Alzira Velano,cirurgia geral,45.6,6.05,51.65
Hospital Universitário Alzira Velano,cirurgia geral,46.8,3.75,50.55
Hospital Universitário Alzira Velano,cirurgia geral,49.2,1.2,50.4
Hospital Universitário Alzira Velano,cirurgia geral,45.6,4.75,50.35
Hospital Universitário Alzira Velano,cirurgia geral,45.6,2.2,47.8
Hospital Universitário Alzira Velano,clínica médica,63.6,9.2,72.8
Hospital Universitário Alzira Velano,clínica médica,63.6,8,71.6
Hospital Universitário Alzira Velano,clínica médica,63.6,7.7,71.3
Hospital Universitário Alzira Velano,clínica médica,61.2,8.7,69.9
Hospital Universitário Alzira Velano,clínica médica,58.8,9.8,68.6
Hospital Universitário Alzira Velano,clínica médica,63.6,4.8,68.4
Hospital Universitário Alzira Velano,clínica médica,61.2,6.65,67.85
Hospital Universitário Alzira Velano,clínica médica,60,7.6,67.6
Hospital Universitário Alzira Velano,clínica médica,61.2,5.6,66.8
Hospital Universitário Alzira Velano,clínica médica,60,6.5,66.5
Hospital Universitário Alzira Velano,clínica médica,57.6,7.9,65.5
Hospital Universitário Alzira Velano,clínica médica,55.2,10,65.2
Hospital Universitário Alzira Velano,clínica médica,58.8,5.5,64.3
Hospital Universitário Alzira Velano,clínica médica,57.6,6.4,64
Hospital Universitário Alzira Velano,clínica médica,58.8,5.2,64
Hospital Universitário Alzira Velano,clínica médica,57.6,6.3,63.9
Hospital Universitário Alzira Velano,clínica médica,58.8,4.7,63.5
Hospital Universitário Alzira Velano,clínica médica,56.4,6.7,63.1
Hospital Universitário Alzira Velano,clínica médica,55.2,7.7,62.9
Hospital Universitário Alzira Velano,clínica médica,57.6,5.1,62.7
Hospital Universitário Alzira Velano,clínica médica,55.2,7.45,62.65
Hospital Universitário Alzira Velano,clínica médica,60,2.6,62.6
Hospital Universitário Alzira Velano,clínica médica,54,7.2,61.2
Hospital Universitário Alzira Velano,clínica médica,52.8,6.3,59.1
Hospital Universitário Alzira Velano,clínica médica,50.4,8.3,58.7
Hospital Universitário Alzira Velano,clínica médica,51.6,6.75,58.35
Hospital Universitário Alzira Velano,clínica médica,52.8,5.5,58.3
Hospital Universitário Alzira Velano,clínica médica,50.4,7.9,58.3
Hospital Universitário Alzira Velano,clínica médica,50.4,7.4,57.8
Hospital Universitário Alzira Velano,clínica médica,51.6,6.2,57.8
Hospital Universitário Alzira Velano,clínica médica,50.4,6.9,57.3
Hospital Universitário Alzira Velano,clínica médica,51.6,5.6,57.2
Hospital Universitário Alzira Velano,clínica médica,49.2,8,57.2
Hospital Universitário Alzira Velano,clínica médica,49.2,7.6,56.8
Hospital Universitário Alzira Velano,clínica médica,50.4,6,56.4
Hospital Universitário Alzira Velano,clínica médica,50.4,5.1,55.5
Hospital Universitário Alzira Velano,clínica médica,50.4,5,55.4
Hospital Universitário Alzira Velano,clínica médica,45.6,8.9,54.5
Hospital Universitário Alzira Velano,clínica médica,51.6,2.3,53.9
Hospital Universitário Alzira Velano,clínica médica,46.8,6.3,53.1
Hospital Universitário Alzira Velano,clínica médica,48,4.85,52.85
Hospital Universitário Alzira Velano,clínica médica,48,4.6,52.6
Hospital Universitário Alzira Velano,clínica médica,48,4.3,52.3
Hospital Universitário Alzira Velano,clínica médica,51.6,0.5,52.1
Hospital Universitário Alzira Velano,clínica médica,48,3.8,51.8
Hospital Universitário Alzira Velano,clínica médica,48,3.75,51.75
Hospital Universitário Alzira Velano,clínica médica,46.8,4.4,51.2
Hospital Universitário Alzira Velano,clínica médica,46.8,4.3,51.1
Hospital Universitário Alzira Velano,clínica médica,45.6,5.25,50.85
Hospital Universitário Alzira Velano,clínica médica,45.6,4.4,50
Hospital Universitário Alzira Velano,medicina de família e comunidade,51.6,3.3,54.9
Hospital Universitário Alzira Velano,medicina intensiva,52.8,10,62.8
Hospital Universitário Alzira Velano,medicina intensiva,54,7,61
Hospital Universitário Alzira Velano,medicina intensiva,52.8,5.2,58
Hospital Universitário Alzira Velano,medicina intensiva,49.2,8.1,57.3
Hospital Universitário Alzira Velano,medicina intensiva,49.2,5.75,54.95
Hospital Universitário Alzira Velano,nefrologia,45,5.5,50.5
Hospital Universitário Alzira Velano,neurocirurgia,68.4,5.9,74.3
Hospital Universitário Alzira Velano,neurocirurgia,66,7.7,73.7
Hospital Universitário Alzira Velano,neurocirurgia,64.8,8.3,73.1
Hospital Universitário Alzira Velano,neurocirurgia,67.2,4,71.2
Hospital Universitário Alzira Velano,neurocirurgia,64.8,6,70.8
Hospital Universitário Alzira Velano,neurocirurgia,64.8,5.55,70.35
Hospital Universitário Alzira Velano,neurocirurgia,62.4,7.8,70.2
Hospital Universitário Alzira Velano,neurocirurgia,60,10,70
Hospital Universitário Alzira Velano,neurocirurgia,66,3.5,69.5
Hospital Universitário Alzira Velano,neurocirurgia,60,8.9,68.9
Hospital Universitário Alzira Velano,neurocirurgia,61.2,7.6,68.8
Hospital Universitário Alzira Velano,neurocirurgia,61.2,6.25,67.45
Hospital Universitário Alzira Velano,neurocirurgia,62.4,4.1,66.5
Hospital Universitário Alzira Velano,neurocirurgia,56.4,9.2,65.6
Hospital Universitário Alzira Velano,neurocirurgia,58.8,4.7,63.5
Hospital Universitário Alzira Velano,neurocirurgia,52.8,9.9,62.7
Hospital Universitário Alzira Velano,neurocirurgia,58.8,3.8,62.6
Hospital Universitário Alzira Velano,neurocirurgia,58.8,3.35,62.15
Hospital Universitário Alzira Velano,neurocirurgia,54,7.9,61.9
Hospital Universitário Alzira Velano,neurocirurgia,51.6,10,61.6
Hospital Universitário Alzira Velano,neurocirurgia,54,7.1,61.1
Hospital Universitário Alzira Velano,neurocirurgia,58.8,2.3,61.1
Hospital Universitário Alzira Velano,neurocirurgia,52.8,8.2,61
Hospital Universitário Alzira Velano,neurocirurgia,56.4,4.1,60.5
Hospital Universitário Alzira Velano,neurocirurgia,56.4,3.3,59.7
Hospital Universitário Alzira Velano,neurocirurgia,51.6,7.4,59
Hospital Universitário Alzira Velano,neurocirurgia,51.6,7,58.6
Hospital Universitário Alzira Velano,neurocirurgia,56.4,1.25,57.65
Hospital Universitário Alzira Velano,neurocirurgia,50.4,6.1,56.5
Hospital Universitário Alzira Velano,neurocirurgia,52.8,3.65,56.45
Hospital Universitário Alzira Velano,neurocirurgia,52.8,3.6,56.4
Hospital Universitário Alzira Velano,neurocirurgia,48,8.4,56.4
Hospital Universitário Alzira Velano,neurocirurgia,48,6.1,54.1
Hospital Universitário Alzira Velano,neurocirurgia,46.8,7,53.8
Hospital Universitário Alzira Velano,neurocirurgia,46.8,7,53.8
Hospital Universitário Alzira Velano,neurocirurgia,50.4,3.3,53.7
Hospital Universitário Alzira Velano,neurocirurgia,48,5.3,53.3
Hospital Universitário Alzira Velano,neurocirurgia,48,3.05,51.05
Hospital Universitário Alzira Velano,neurocirurgia,46.8,4.1,50.9
Hospital Universitário Alzira Velano,neurocirurgia,46.8,3.8,50.6
Hospital Universitário Alzira Velano,neurocirurgia,45.6,2.4,48
Hospital Universitário Alzira Velano,neurocirurgia,45.6,2.2,47.8
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,67.2,6.3,73.5
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,64.8,3,67.8
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,56.4,7.5,63.9
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,57.6,5.9,63.5
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,55.2,7.5,62.7
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,55.2,7.1,62.3
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,57.6,4.5,62.1
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,57.6,4.45,62.05
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,52.8,6,58.8
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,51.6,7.2,58.8
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,49.2,8.2,57.4
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,52.8,4.1,56.9
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,51.6,5.05,56.65
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,50.4,6.1,56.5
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,51.6,4.3,55.9
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,48,7.5,55.5
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,50.4,4,54.4
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,49.2,5.1,54.3
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,50.4,3.5,53.9
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,48,5.7,53.7
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,48,5.1,53.1
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,45.6,6,51.6
Hospital Universitário Alzira Velano,obstetrícia e ginecologia,48,2.75,50.75
Hospital Universitário Alzira Velano,ortopedia e traumatologia,57.6,5.5,63.1
Hospital Universitário Alzira Velano,ortopedia e traumatologia,51.6,6.1,57.7
Hospital Universitário Alzira Velano,ortopedia e traumatologia,51.6,3.3,54.9
Hospital Universitário Alzira Velano,ortopedia e traumatologia,48,6.35,54.35
Hospital Universitário Alzira Velano,ortopedia e traumatologia,45.6,4.15,49.75
Hospital Universitário Alzira Velano,pediatria,58.8,8.7,67.5
Hospital Universitário Alzira Velano,pediatria,54,10,64
Hospital Universitário Alzira Velano,pediatria,58.8,5.2,64
Hospital Universitário Alzira Velano,pediatria,56.4,6,62.4
Hospital Universitário Alzira Velano,pediatria,50.4,10,60.4
Hospital Universitário Alzira Velano,pediatria,57.6,2.35,59.95
Hospital Universitário Alzira Velano,pediatria,48,10,58
Hospital Universitário Alzira Velano,pediatria,50.4,6.1,56.5
Hospital Universitário Alzira Velano,pediatria,46.8,5.05,51.85
Hospital Universitário Alzira Velano,pediatria,49.2,2.3,51.5
Hospital Universitário Alzira Velano,pediatria,45.6,5,50.6
Hospital Universitário Alzira Velano,pediatria,48,1.3,49.3
Hospital Universitário Alzira Velano,pediatria,45.6,2.85,48.45
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,58.8,5.95,64.75
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,56.4,7.2,63.6
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,55.2,6.3,61.5
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,50.4,7,57.4
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,52.8,4.35,57.15
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,51.6,5,56.6
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,52.8,3.55,56.35
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,52.8,2.25,55.05
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,51.6,2.5,54.1
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,48,5.3,53.3
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,50.4,2.8,53.2
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,48,4.7,52.7
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,49.2,3.3,52.5
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,50.4,1.75,52.15
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,45.6,3.9,49.5
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,45.6,3.1,48.7
Hospital Universitário Alzira Velano,radiologia e diagnóstico por imagem,45.6,2,47.6
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,66,6.9,72.9
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,69.6,2.95,72.55
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,64.8,7.65,72.45
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,62.4,7.95,70.35
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,58.8,10,68.8
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,60,8.5,68.5
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,63.6,4.8,68.4
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,62.4,4.3,66.7
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,62.4,3.3,65.7
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,60,5.1,65.1
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,60,5.1,65.1
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,56.4,7.1,63.5
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,51.6,9.6,61.2
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,56.4,4.6,61
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,54,5.6,59.6
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,55.2,4.1,59.3
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,52.8,6.3,59.1
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,51.6,6.6,58.2
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,54,3.9,57.9
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,52.8,4.55,57.35
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,50.4,6.55,56.95
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,51.6,5.2,56.8
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,49.2,7.1,56.3
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,52.8,3.4,56.2
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,51.6,4.15,55.75
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,46.8,8.8,55.6
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,54,1.4,55.4
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,50.4,4.4,54.8
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,49.2,5.55,54.75
Hospital Universitário Mário Palmério da Universidade de Uberaba - UNIUBE,anestesiologia,45.6,8.6,54.2
